postal_code,name,canton
1468,Cheyres,FR
1470,Estavayer-le-Lac,FR
1474,Châbles FR,FR
1483,Montet (Broye),FR
1482,Cugy FR,FR
1541,Bussy FR,FR
1485,Nuvilly,FR
1486,Vuissens,FR
1537,Champtauroz,VD
1538,Treytorrens-Payern,VD
1489,Murist,FR
1512,Chavannes-s-Moudon,VD
1513,Hermenches,VD
1514,Bussy-sur-Moudon,VD
1522,Oulens-sur-Lucens,VD
1515,Villars-le-Comte,VD
1521,Curtilles,VD
1523,Granges-Marnand,VD
1527,Villeneuve FR,FR
1528,Surpierre,FR
1529,Cheiry,FR
1530,Payerne,VD
1532,Fétigny,FR
1533,Ménières,FR
1526,Forel-sur-Lucens,VD
1542,Rueyres-les-Prés,FR
1543,Grandcour,VD
1544,Gletterens,FR
1545,Chevroux,VD
1552,Trey,VD
1553,Châtonnaye,FR
1554,Sédeilles,VD
1562,Corcelles-Payerne,VD
1563,Dompierre FR,FR
1564,Domdidier,FR
1565,Missy,VD
1475,Autavaux,FR
1567,Delley,FR
1566,St-Aubin FR,FR
1580,Avenches,VD
1583,Villarepos,FR
1584,Villars-le-Grand,VD
1588,Cudrefin,VD
1595,Faoug,VD
1607,Palézieux-Village,VD
1525,Henniez,VD
1070,Puidoux,VD
1071,Chexbres,VD
1072,Forel (Lavaux),VD
1614,Granges (Veveyse),FR
1615,Bossonnens,FR
1616,Attalens,FR
1617,Remaufens,FR
1618,Châtel-St-Denis,FR
1623,Semsales,FR
1624,La Verrerie,FR
1627,Vaulruz,FR
1628,Vuadens,FR
1630,Bulle,FR
1633,Vuippens,FR
1642,Sorens,FR
1643,Gumefens,FR
1646,Echarlens,FR
1647,Corbières,FR
1648,Hauteville,FR
1656,Im Fang,FR
1657,Abländschen,BE
1654,Cerniat FR,FR
1652,Botterens,FR
1638,Morlon,FR
1663,Moléson-s-Gruyères,FR
1632,Riaz,FR
1634,La Roche FR,FR
1649,Pont-la-Ville,FR
1636,Broc,FR
1661,Pâquier-Montbarry,FR
1665,Estavannens,FR
1669,Neirivue,FR
1666,Grandvillard,FR
1675,Vauderens,FR
1678,Siviriez,FR
1680,Romont FR,FR
1681,Billens,FR
1683,Brenles,VD
1694,Orsonnens,FR
1695,Villarlod,FR
1696,Vuisternens-Ogoz,FR
1684,Mézières FR,FR
1685,Villariaz,FR
1686,Grangettes-Romont,FR
1689,Châtelard-p-Romont,FR
1626,Romanens,FR
1692,Massonnens,FR
1613,Maracon,VD
1609,St-Martin FR,FR
1699,Bouloz,FR
1700,Fribourg,FR
1763,Granges-Paccot,FR
1720,Corminboeuf,FR
1721,Misery-Courtion,FR
1735,Giffers,FR
1736,St. Silvester,FR
1737,Plasselb,FR
1738,Sangernboden,BE
1716,Schwarzsee,FR
1724,Bonnefontaine,FR
1727,Corpataux-Magneden,FR
1728,Rossens FR,FR
1719,Brünisried,FR
1731,Ependes FR,FR
1732,Arconciel,FR
1733,Treyvaux,FR
1712,Tafers,FR
1713,St. Antoni,FR
1714,Heitenried,FR
1715,Alterswil FR,FR
1717,St. Ursen,FR
1718,Rechthalten,FR
1723,Marly,FR
1725,Posieux,FR
1726,Farvagny,FR
1746,Prez-vers-Noréaz,FR
1747,Corserey,FR
1748,Torny-le-Grand,FR
1740,Neyruz FR,FR
1741,Cottens FR,FR
1744,Chénens,FR
1745,Lentigny,FR
1742,Autigny,FR
1691,Villarimboud,FR
1752,Villars-sur-Glâne,FR
1753,Matran,FR
1754,Rosé,FR
1757,Noréaz,FR
1690,Villaz-St-Pierre,FR
1762,Givisiez,FR
1772,Grolley,FR
1773,Léchelles,FR
1774,Cousset,FR
1795,Courlevon,FR
1796,Courgevaux,FR
1797,Münchenwiler,BE
1794,Salvenach,FR
1793,Jeuss,FR
1792,Cordast,FR
1791,Courtaman,FR
1788,Praz (Vully),FR
1789,Lugnorre,FR
1782,Belfaux,FR
1783,Pensier,FR
1785,Cressier FR,FR
1800,Vevey,VD
1801,Le Mont-Pèlerin,VD
1808,Monts-de-Corsier,VD
1802,Corseaux,VD
1805,Jongny,VD
1806,St-Légier-Chiésaz,VD
1807,Blonay,VD
1814,La Tour-de-Peilz,VD
1815,Clarens,VD
1658,La Tine,VD
1660,Les Moulins,VD
1659,Flendruz,VD
1844,Villeneuve VD,VD
1847,Rennaz,VD
1845,Noville,VD
1846,Chessel,VD
1852,Roche VD,VD
1853,Yvorne,VD
1854,Leysin,VD
1867,St-Triphon,VD
1860,Aigle,VD
1856,Corbeyrier,VD
1862,La Comballaz,VD
1864,Vers-l'Eglise,VD
1868,Collombey,VS
1870,Monthey,VS
1872,Troistorrents,VS
1873,Val-d'Illiez,VS
1874,Champéry,VS
1880,Bex,VD
1882,Gryon,VD
1890,St-Maurice,VS
1891,Vérossaz,VS
1869,Massongex,VS
1895,Vionnaz,VS
1897,Les Evouettes,VS
1892,Lavey-Village,VD
1896,Vouvry,VS
1898,St-Gingolph,VS
1902,Evionnaz,VS
1903,Collonges,VS
1904,Vernayaz,VS
1905,Dorénaz,VS
1906,Charrat,VS
1907,Saxon,VS
1908,Riddes,VS
1912,Leytron,VS
1913,Saillon,VS
1914,Isérables,VS
1955,Chamoson,VS
1957,Ardon,VS
1920,Martigny,VS
1921,Martigny-Croix,VS
1923,Le Trétien,VS
1925,Le Châtelard VS,VS
1927,Chemin,VS
1929,Trient,VS
1926,Fully,VS
1932,Bovernier,VS
1947,Versegères,VS
1945,Liddes,VS
1946,Bourg-St-Pierre,VS
1943,Praz-de-Fort,VS
1933,Sembrancher,VS
1950,Sion,VS
1975,St-Séverin,VS
1971,Grimisuat,VS
1974,Arbaz,VS
1961,Vernamiège,VS
1969,St-Martin VS,VS
1981,Vex,VS
1982,Euseigne,VS
1984,Les Haudères,VS
1992,Les Agettes,VS
1993,Veysonnaz,VS
1997,Siviez (Nendaz),VS
1963,Vétroz,VS
1965,Savièse,VS
1966,Ayent,VS
2000,Neuchâtel,NE
2012,Auvernier,NE
2015,Areuse,NE
2016,Cortaillod,NE
2022,Bevaix,NE
2023,Gorgier,NE
2024,St-Aubin-Sauges,NE
2028,Vaumarcus,NE
2034,Peseux,NE
2035,Corcelles NE,NE
2042,Valangin,NE
2043,Boudevilliers,NE
2068,Hauterive NE,NE
2072,St-Blaise,NE
2073,Enges,NE
2074,Marin-Epagnier,NE
3238,Gals,BE
2087,Cornaux NE,NE
2088,Cressier NE,NE
2318,Brot-Plamboz,NE
2103,Noiraigue,NE
2117,La Côte-aux-Fées,NE
2406,La Brévine,NE
2126,Les Verrières,NE
2149,Champ-du-Moulin,NE
2019,Chambrelien,NE
2300,La Chaux-de-Fonds,NE
2316,Petit-Martel,NE
2338,Les Emibois,JU
2314,La Sagne NE,NE
2325,Les Planchettes,NE
2333,La Ferrière,BE
2336,Les Bois,JU
2400,Le Locle,NE
2405,La Chaux-du-Milieu,NE
2414,Cerneux-Péquignot,NE
2416,Les Brenets,NE
2500,Biel/Bienne,BE
2512,Tüscherz-Alfermée,BE
2514,Ligerz,BE
2515,Prêles,BE
2518,Nods,BE
2520,La Neuveville,BE
2523,Lignières,NE
2525,Le Landeron,NE
2532,Magglingen/Macolin,BE
2534,Orvin,BE
2535,Frinvillier,BE
2538,Romont BE,BE
2540,Grenchen,SO
2542,Pieterlen,BE
2543,Lengnau BE,BE
2544,Bettlach,SO
2545,Selzach,SO
2552,Orpund,BE
2553,Safnern,BE
2554,Meinisberg,BE
2555,Brügg BE,BE
2556,Scheuren,BE
2557,Studen BE,BE
2558,Aegerten,BE
2560,Nidau,BE
2562,Port,BE
2563,Ipsach,BE
2564,Bellmund,BE
2565,Jens,BE
2572,Sutz,BE
2575,Täuffelen,BE
2576,Lüscherz,BE
2577,Siselen BE,BE
3237,Brüttelen,BE
2603,Péry,BE
2604,La Heutte,BE
2605,Sonceboz-Sombeval,BE
2606,Corgémont,BE
2607,Cortébert,BE
2608,Courtelary,BE
2610,St-Imier,BE
2612,Cormoret,BE
2613,Villeret,BE
2615,Sonvilier,BE
2616,Renan BE,BE
2710,Tavannes,BE
2712,Le Fuet,BE
2714,Le Prédame,JU
2717,Fornet-Dessous,BE
2718,Fornet-Dessus,JU
2716,Sornetan,BE
2720,Tramelan,BE
2723,Mont-Tramelan,BE
2345,Les Breuleux,JU
2340,Le Noirmont,JU
2350,Saignelégier,JU
2732,Reconvilier,BE
2733,Pontenet,BE
2735,Malleray-Bévilard,BE
2736,Sorvilier,BE
2738,Court,BE
2740,Moutier,BE
2742,Perrefitte,BE
2748,Souboz,BE
2743,Eschert,BE
2744,Belprahon,BE
2747,Seehof,BE
2745,Grandval,BE
2746,Crémines,BE
2762,Roches BE,BE
2832,Rebeuvelier,JU
2830,Courrendlin,JU
2800,Delémont,JU
2802,Develier,JU
2803,Bourrignon,JU
2805,Soyhières,JU
2806,Mettembert,JU
2807,Pleigne,JU
2812,Movelier,JU
2813,Ederswiler,JU
2814,Roggenburg,BL
2822,Courroux,JU
2824,Vicques,JU
2825,Courchapoix,JU
2826,Corban,JU
2827,Mervelier,JU
2842,Rossemaison,JU
2843,Châtillon JU,JU
2852,Courtételle,JU
2853,Courfaivre,JU
2856,Boécourt,JU
2873,Saulcy,JU
2882,St-Ursanne,JU
2887,Soubey,JU
2950,Courgenay,JU
2900,Porrentruy,JU
2902,Fontenais,JU
2905,Courtedoux,JU
2906,Chevenez,JU
2907,Rocourt,JU
2908,Grandfontaine,JU
2915,Bure,JU
2916,Fahy,JU
2922,Courchavon,JU
2923,Courtemaîche,JU
2926,Boncourt,JU
2932,Coeuve,JU
2935,Beurnevésin,JU
2942,Alle,JU
2943,Vendlincourt,JU
2944,Bonfol,JU
2946,Miécourt,JU
2952,Cornol,JU
3000,Bern,BE
3095,Spiegel b. Bern,BE
3032,Hinterkappelen,BE
3035,Frieswil,BE
3036,Detligen,BE
3037,Herrenschwanden,BE
3042,Ortschwaben,BE
3047,Bremgarten b. Bern,BE
3048,Worblaufen,BE
3052,Zollikofen,BE
3053,Münchenbuchsee,BE
3054,Schüpfen,BE
3065,Bolligen,BE
3066,Stettlen,BE
3067,Boll,BE
3072,Ostermundigen,BE
3073,Gümligen,BE
3075,Rüfenacht BE,BE
3082,Schlosswil,BE
3083,Trimstein,BE
3088,Oberbütschel,BE
3086,Zimmerwald,BE
3087,Niedermuhlern,BE
3096,Oberbalm,BE
3099,Rüti b. Riggisberg,BE
3112,Allmendingen b. BE,BE
3114,Wichtrach,BE
3115,Gerzensee,BE
3116,Kirchdorf BE,BE
3629,Kiesen,BE
3628,Uttigen,BE
3122,Kehrsatz,BE
3123,Belp,BE
3125,Toffen,BE
3126,Kaufdorf,BE
3127,Mühlethurnen,BE
3128,Kirchenthurnen,BE
3664,Burgistein,BE
3665,Wattenwil,BE
3662,Seftigen,BE
3663,Gurzelen,BE
3661,Uetendorf,BE
3148,Lanzenhäusern,BE
3153,Rüschegg Gambach,BE
3175,Flamatt,FR
3176,Neuenegg,BE
3177,Laupen BE,BE
3178,Bösingen,FR
3179,Kriechenwil,BE
3182,Ueberstorf,FR
3186,Düdingen,FR
3202,Frauenkappelen,BE
3203,Mühleberg,BE
3206,Rizenbach,BE
3207,Wileroltigen,BE
3208,Gurbrü,BE
3210,Kerzers,FR
3216,Ried b. Kerzers,FR
3215,Gempenach,FR
3214,Ulmiz,FR
3225,Müntschemier,BE
3226,Treiten,BE
3232,Ins,BE
3233,Tschugg,BE
3234,Vinelz,BE
3235,Erlach,BE
3236,Gampelen,BE
3250,Lyss,BE
3251,Wengi b. Büren,BE
3252,Worben,BE
3253,Schnottwil,SO
3254,Messen,SO
3255,Rapperswil BE,BE
3257,Grossaffoltern,BE
3263,Büetigen,BE
3264,Diessbach b. Büren,BE
3270,Aarberg,BE
3272,Walperswil,BE
3273,Kappelen,BE
3274,Hermrigen,BE
3280,Murten,FR
3282,Bargen BE,BE
3283,Kallnach,BE
3284,Fräschels,FR
3285,Galmiz,FR
3286,Muntelier,FR
3293,Dotzigen,BE
3294,Büren an der Aare,BE
3295,Rüti b. Büren,BE
3296,Arch,BE
3297,Leuzigen,BE
3298,Oberwil b. Büren,BE
3302,Moosseedorf,BE
3303,Jegenstorf,BE
3308,Grafenried,BE
3315,Bätterkinden,BE
3322,Urtenen-Schönbühl,BE
3323,Bäriswil BE,BE
3324,Hindelbank,BE
3325,Hettiswil,BE
3305,Iffwil,BE
3309,Kernenried,BE
3360,Herzogenbuchsee,BE
3429,Höchstetten-Hells,BE
4556,Aeschi SO,SO
3376,Graben,BE
3372,Wanzwil,BE
3374,Wangenried,BE
3362,Niederönz,BE
3365,Seeberg,BE
3366,Bettenhausen,BE
3367,Thörigen,BE
3368,Bleienbach,BE
3400,Burgdorf,BE
3412,Heimiswil,BE
3414,Oberburg,BE
3415,Hasle-Rüegsau,BE
3416,Affoltern BE,BE
3417,Rüegsau,BE
3421,Lyssach,BE
3422,Kirchberg BE,BE
3423,Ersigen,BE
3424,Niederösch,BE
3425,Koppigen,BE
3426,Aefligen,BE
3427,Utzenstorf,BE
3428,Wiler b.Utzenstorf,BE
3432,Lützelflüh-Goldb,BE
3433,Schwanden i. E.,BE
3434,Obergoldbach,BE
3438,Lauperswil,BE
3453,Heimisbach,BE
3454,Sumiswald,BE
3464,Schmidigen-Mühlew,BE
3465,Dürrenroth,BE
3472,Wynigen,BE
3473,Alchenstorf,BE
3111,Tägertschi,BE
3503,Gysenstein,BE
3504,Niederhünigen,BE
3506,Grosshöchstetten,BE
3507,Biglen,BE
3508,Arni BE,BE
3512,Walkringen,BE
3672,Oberdiessbach,BE
3673,Linden,BE
3671,Brenzikofen,BE
3531,Oberthal,BE
3532,Zäziwil,BE
3533,Bowil,BE
3534,Signau,BE
3536,Aeschau,BE
3538,Röthenbach i. E.,BE
3550,Langnau i. E.,BE
3555,Trubschachen,BE
3556,Trub,BE
3600,Thun,BE
3617,Fahrni b. Thun,BE
3618,Süderen,BE
3619,Eriz,BE
3622,Homberg b. Thun,BE
3635,Uebeschi,BE
3631,Höfen b. Thun,BE
3636,Längenbühl,BE
3612,Steffisburg,BE
3614,Unterlangenegg,BE
3615,Heimenschwand,BE
3616,Schwarzenegg,BE
3623,Teuffenthal BE,BE
3625,Heiligenschwendi,BE
3626,Hünibach,BE
3627,Heimberg,BE
3633,Amsoldingen,BE
3634,Thierachern,BE
3638,Blumenstein,BE
3646,Einigen,BE
3647,Reutigen,BE
3653,Oberhofen Thun'see,BE
3654,Gunten,BE
3703,Aeschi b. Spiez,BE
3704,Krattigen,BE
3706,Leissigen,BE
3707,Därligen,BE
3713,Reichenbach i. K.,BE
3714,Frutigen,BE
3715,Adelboden,BE
3716,Kandergrund,BE
3718,Kandersteg,BE
3752,Wimmis,BE
3753,Oey,BE
3758,Latterbach,BE
3763,Därstetten,BE
3765,Oberwil i. S.,BE
3766,Boltigen,BE
3770,Zweisimmen,BE
3772,St. Stephan,BE
3775,Lenk im Simmental,BE
3782,Lauenen b. Gstaad,BE
3784,Feutersoey,BE
3800,Interlaken,BE
3801,Jungfraujoch,VS
3803,Beatenberg,BE
3804,Habkern,BE
3805,Goldswil,BE
3806,Bönigen,BE
3807,Iseltwald,BE
3812,Wilderswil,BE
3813,Saxeten,BE
3814,Gsteigwiler,BE
3815,Zweilütschinen,BE
3816,Lütschental,BE
3818,Grindelwald,BE
3822,Lauterbrunnen,BE
3853,Niederried Interl,BE
3854,Oberried Brienz,BE
3855,Brienz BE,BE
3856,Brienzwiler,BE
3857,Unterbach BE,BE
3858,Hofstetten BE,BE
3862,Innertkirchen,BE
3864,Guttannen,BE
3900,Brig,VS
3949,Hohtenn,VS
3903,Birgisch,VS
3913,Rosswald,VS
3911,Ried-Brig,VS
3907,Simplon Hospiz,VS
3922,Eisten,VS
3908,Saas-Balen,VS
3910,Saas-Grund,VS
3917,Goppenstein,VS
3918,Wiler (Lötschen),VS
3919,Blatten(Lötschen),VS
3905,Saas-Almagell,VS
3906,Saas-Fee,VS
3920,Zermatt,VS
3923,Törbel,VS
3926,Embd,VS
3927,Herbriggen,VS
3928,Randa,VS
3929,Täsch,VS
3925,Grächen,VS
3930,Visp,VS
3942,St. German,VS
3933,Staldenried,VS
3937,Baltschieder,VS
3938,Ausserberg,VS
3939,Eggerberg,VS
3931,Lalden,VS
3932,Visperterminen,VS
3934,Zeneggen,VS
3935,Bürchen,VS
3943,Eischoll,VS
3944,Unterbäch VS,VS
3947,Ergisch,VS
3948,Unterems,VS
3951,Agarn,VS
3955,Albinen,VS
3956,Guttet-Feschel,VS
3957,Erschmatt,VS
3953,Varen,VS
3976,Noës,VS
3978,Flanthey,VS
1977,Icogne,VS
3979,Grône,VS
3945,Gampel,VS
3954,Leukerbad,VS
3970,Salgesch,VS
1958,St-Léonard,VS
3971,Chermignon,VS
3972,Miège,VS
3973,Venthône,VS
3974,Mollens VS,VS
3975,Randogne,VS
3961,Vissoie,VS
3967,Vercorin,VS
3963,Montana,VS
3965,Chippis,VS
3968,Veyras,VS
3982,Bitsch,VS
3993,Grengiols,VS
3994,Lax,VS
3997,Bellwald,VS
3989,Niederwald,VS
3998,Gluringen,VS
3985,Geschinen,VS
3988,Obergesteln,VS
3986,Ried-Mörel,VS
3991,Betten,VS
3995,Ernen,VS
3996,Binn,VS
3983,Mörel,VS
3984,Fiesch,VS
4000,Basel,BS
4101,Bruderholz,BL
4103,Bottmingen,BL
4104,Oberwil BL,BL
4105,Biel-Benken BL,BL
4106,Therwil,BL
4107,Ettingen,BL
4108,Witterswil,SO
4112,Bättwil-Flüh,SO
4114,Hofstetten SO,SO
4115,Mariastein,SO
4117,Burg im Leimental,BL
4118,Rodersdorf,SO
4123,Allschwil,BL
4124,Schönenbuch,BL
4125,Riehen,BS
4126,Bettingen,BS
4127,Birsfelden,BL
4132,Muttenz,BL
4133,Pratteln,BL
4142,Münchenstein,BL
4143,Dornach,SO
4144,Arlesheim,BL
4145,Gempen,SO
4146,Hochwald,SO
4147,Aesch BL,BL
4148,Pfeffingen,BL
4153,Reinach BL,BL
4202,Duggingen,BL
4203,Grellingen,BL
4206,Seewen SO,SO
4207,Bretzwil,BL
4208,Nunningen,SO
4222,Zwingen,BL
4225,Brislach,BL
4226,Breitenbach,SO
4227,Büsserach,SO
4228,Erschwil,SO
4242,Laufen,BL
4243,Dittingen,BL
4244,Röschenz,BL
4245,Kleinlützel,SO
4204,Himmelried,SO
4223,Blauen,BL
4224,Nenzlingen,BL
4229,Beinwil SO,SO
4232,Fehren,SO
4233,Meltingen,SO
4234,Zullwil,SO
4246,Wahlen b. Laufen,BL
4247,Grindel,SO
4252,Bärschwil,SO
4253,Liesberg,BL
4302,Augst BL,BL
4303,Kaiseraugst,AG
4304,Giebenach,BL
4305,Olsberg,AG
4310,Rheinfelden,AG
4312,Magden,AG
4313,Möhlin,AG
4314,Zeiningen,AG
4315,Zuzgen,AG
4316,Hellikon,AG
4317,Wegenstetten,AG
4322,Mumpf,AG
4323,Wallbach,AG
4324,Obermumpf,AG
4325,Schupfart,AG
4332,Stein AG,AG
4333,Münchwilen AG,AG
4334,Sisseln AG,AG
5080,Laufenburg,AG
5082,Kaisten,AG
5275,Etzgen,AG
5272,Gansingen,AG
5326,Schwaderloch,AG
5325,Leibstadt,AG
5324,Full-Reuenthal,AG
4402,Frenkendorf,BL
4410,Liestal,BL
4411,Seltisberg,BL
4412,Nuglar,SO
4413,Büren SO,SO
4414,Füllinsdorf,BL
4415,Lausen,BL
4416,Bubendorf,BL
4417,Ziefen,BL
4418,Reigoldswil,BL
4419,Lupsingen,BL
4422,Arisdorf,BL
4423,Hersberg,BL
4424,Arboldswil,BL
4425,Titterten,BL
4426,Lauwil,BL
4431,Bennwil,BL
4432,Lampenberg,BL
4433,Ramlinsburg,BL
4434,Hölstein,BL
4435,Niederdorf,BL
4436,Oberdorf BL,BL
4437,Waldenburg,BL
4438,Langenbruck,BL
4441,Thürnen,BL
4442,Diepflingen,BL
4443,Wittinsburg,BL
4444,Rümlingen,BL
4445,Häfelfingen,BL
4446,Buckten,BL
4447,Känerkinden,BL
4448,Läufelfingen,BL
4450,Sissach,BL
4451,Wintersingen,BL
4452,Itingen,BL
4453,Nusshof,BL
4455,Zunzgen,BL
4456,Tenniken,BL
4457,Diegten,BL
4458,Eptingen,BL
4460,Gelterkinden,BL
4461,Böckten,BL
4465,Hemmiken,BL
4469,Anwil,BL
4462,Rickenbach BL,BL
4463,Buus,BL
4464,Maisprach,BL
4466,Ormalingen,BL
4467,Rothenfluh,BL
4468,Kienberg,SO
4492,Tecknau,BL
4493,Wenslingen,BL
4494,Oltingen,BL
4495,Zeglingen,BL
4496,Kilchberg BL,BL
4497,Rünenberg,BL
4500,Solothurn,SO
4515,Weissenstein,SO
4525,Balm b. Günsberg,SO
4523,Niederwil SO,SO
4535,Hubersdorf,SO
4539,Rumisberg,BE
4557,Horriwil,SO
4558,Hersiwil,SO
4512,Bellach,SO
4513,Langendorf,SO
4514,Lommiswil,SO
4522,Rüttenen,SO
4524,Günsberg,SO
4528,Zuchwil,SO
4532,Feldbrunnen,SO
4534,Flumenthal,SO
4536,Attiswil,BE
4537,Wiedlisbach,BE
4538,Oberbipp,BE
4552,Derendingen,SO
4553,Subingen,SO
4554,Etziken,SO
3375,Inkwil,BE
4562,Biberist,SO
4563,Gerlafingen,SO
4564,Obergerlafingen,SO
4565,Recherswil,SO
4566,Kriegstetten,SO
4581,Küttigkofen,SO
